Sigla;Nome;Tipo;Impacto;ISSN
BWC;Biotechnology World Convention;P;2,75;0377-8779
ICS;International Conference on Stereochemistry;C;0;
NYPEF;New York Private Equity Forum;P;5;0156-0101
ICBDADM;International Conference on Big Data Analysis and Data Mining;C;189;
ICSLP;International Conference on Speech Language Pathology;C;2,74;
ESSM;Exhibition on Satellite and Space Missions;P;0;0789-123
WCAR;World Congress on Automation and Robotics;C;77;
GSEMA;Global Summit and Expo on Multimedia and Applications;P;26;3210-4879
CIA;Congress on Industrial Automation;C;407;
CEBB;Conference and Exhibition on Biosensors and Bioelectronics;C;178;
GSHED;Global Summit on Hormones and Endocrine Disorders;P;0;0178-455
ICCGMD;International Conference on Computer Graphics and Media Design;C;0;
WCATC;World Cancer and Anti-Cancer Therapy Convention;C;40,32;
NCE;Nanotechnology Congress and Expo;P;52;0789-4444
GSOC;Global Summit on Oncology and Cancer;P;29;0876-8799
WDDS;World Drug Delivery Summit;C;78;
WCGRS;World Congress on GIS and Remote Sensing;C;0;
ASOCE;Annual Surgeons and Orthopedics Conference and Expo;C;2;
WCEAM;World Congress and Expo on Applied Microbiology;P;1;7789-4794
CECSS;Congress and Exhibition on Construction and Steel Structure;P;0;0111-4887
