Ano;Sigla Veículo;Veículo;Qualis;Fator de Impacto;Título;Docentes
2016;WCATC;World Cancer and Anti-Cancer Therapy Convention;A1;40,320;The Death Of Cancer And Anti-cancer And How To Avoid It;Ernst Kegan
2014;ICBDADM;International Conference on Big Data Analysis and Data Mining;A1;189,000;Master The Art Of Big Data Analysis With These 9 Tips;Conor Drew
2014;ICS;International Conference on Stereochemistry;A1;0,000;The Insider Secret on stereochemistry Uncovered;Jennifer Kathie
2014;ICSLP;International Conference on Speech Language Pathology;A1;2,740;You Want Speech Language?;Jennifer Kathie
2012;GSHED;Global Summit on Hormones and Endocrine Disorders;A1;0,000;Do You Need A Hormones?;Rainer Guido,Norm Michael
2012;ICCGMD;International Conference on Computer Graphics and Media Design;A1;0,000;Listen To Your Customers. They Will Tell You All About Computer Graphics;Rainer Guido
2016;NCE;Nanotechnology Congress and Expo;A2;52,000;Best 40 Tips For Nanotechnology;Dezi Mathis,Jennifer Kathie
2016;NYPEF;New York Private Equity Forum;A2;5,000;The Little-Known Secrets To new york;Conor Drew
2015;NYPEF;New York Private Equity Forum;A2;5,000;The History of new york Refuted;Evaristo Lucas
2014;ESSM;Exhibition on Satellite and Space Missions;A2;0,000;Amazing Tricks To Get The Most Out Of Your Satellite And Space Missions;Ernst Kegan,Norm Michael
2012;ICSLP;International Conference on Speech Language Pathology;A2;2,740;Cracking The Speech Language Secret;Franz Gerhold
2016;CIA;Congress on Industrial Automation;B2;407,000;My Life, My Job, My Career: How 6 Simple Industrial Automation Helped Me Succeed;Ernst Kegan
2015;ICS;International Conference on Stereochemistry;B2;0,000;Unknown Facts About stereochemistry Revealed By The Experts;Evaristo Lucas,Norm Michael
2014;BWC;Biotechnology World Convention;B2;2,750;The Most Overlooked Fact About biotechnology Revealed;Ernst Kegan
2014;WCAR;World Congress on Automation and Robotics;B2;77,000;How To Make Automation And Robotics;Franz Gerhold,Melvyn Floyd,Norm Michael
2012;WCEAM;World Congress and Expo on Applied Microbiology;B2;1,000;One Word: Applied Microbiology;Conor Drew
2016;ASOCE;Annual Surgeons and Orthopedics Conference and Expo;B3;2,000;9 Life-saving Tips About Orthopedics;Christianne Vera
2011;GSHED;Global Summit on Hormones and Endocrine Disorders;B3;0,000;Hormones Secrets Revealed;Rainer Guido
2016;WCEAM;World Congress and Expo on Applied Microbiology;B4;1,000;The Hidden Mystery Behind Applied Microbiology;Ernst Kegan,Jennifer Kathie
2015;ESSM;Exhibition on Satellite and Space Missions;B4;0,000;How To Become Better With Satellite And Space Missions In 10 Minutes;Melvyn Floyd,Franz Gerhold
2015;GSEMA;Global Summit and Expo on Multimedia and Applications;B4;26,000;Why My Multimedia And Applications Is Better Than Yours;Melvyn Floyd
2015;WCGRS;World Congress on GIS and Remote Sensing;B4;0,000;10 Ideas For Remote Sensing;Christianne Vera
2014;GSEMA;Global Summit and Expo on Multimedia and Applications;B4;26,000;How Green Is Your Multimedia And Applications?;Norm Michael
2013;ICBDADM;International Conference on Big Data Analysis and Data Mining;B4;189,000;What Big Data Analysis Experts Don't Want You To Know;Evaristo Lucas
2013;WCAR;World Congress on Automation and Robotics;B4;77,000;Who Is Automation And Robotics?;Norm Michael
2012;ASOCE;Annual Surgeons and Orthopedics Conference and Expo;B4;2,000;20 Best Ways To Sell Orthopedics;Christianne Vera,Jennifer Kathie
2012;GSOC;Global Summit on Oncology and Cancer;B4;29,000;Who Is Oncology And Cancer?;Dezi Mathis
2016;WDDS;World Drug Delivery Summit;B5;78,000;Death, World Drug: Tips To Avoiding World Drug;Dezi Mathis
2015;CEBB;Conference and Exhibition on Biosensors and Bioelectronics;C;178,000;Revolutionize Your Biosensors And Bioelectronics With These Easy-peasy Tips;Norm Michael
2014;CECSS;Congress and Exhibition on Construction and Steel Structure;C;0,000;How To Learn Construction And Steel Structure;Conor Drew
2014;WCATC;World Cancer and Anti-Cancer Therapy Convention;C;40,320;Do You Make These Simple Mistakes In Cancer And Anti-cancer?;Dezi Mathis,Norm Michael
2013;ASOCE;Annual Surgeons and Orthopedics Conference and Expo;C;2,000;How To Rent A Orthopedics Without Spending An Arm And A Leg;Ernst Kegan
2013;BWC;Biotechnology World Convention;C;2,750;Testing Intellectual Mythos: Biotech and/in the Abject;Ernst Kegan,Conor Drew,Franz Gerhold
2013;ICS;International Conference on Stereochemistry;C;0,000;The Nuiances Of steks;Jennifer Kathie,Dezi Mathis
